rate_date,base,quote,rate
# Snapshot inicial de tasas EUR→quote para el bootstrap offline.
# Valores aproximados a publicaciones del ECB en cada fecha; sirven
# como semilla cuando el host arranca sin red. La función
# `currency.service.refresh_rates` los reescribe con la tasa real
# tan pronto como hay conectividad (la upsert sobre la PK
# (rate_date, base, quote) garantiza idempotencia).
#
# Source en BD: 'snapshot' — distinguible de 'frankfurter'.
2024-01-02,EUR,USD,1.10130000
2024-01-02,EUR,GBP,0.86420000
2024-01-02,EUR,JPY,158.99000000
2024-01-02,EUR,CHF,0.93540000
2024-01-02,EUR,CAD,1.45380000
2024-01-02,EUR,AUD,1.62210000
2024-01-02,EUR,MXN,18.59800000
2024-01-02,EUR,BRL,5.30100000
2024-01-02,EUR,CNY,7.85040000
2024-07-01,EUR,USD,1.07390000
2024-07-01,EUR,GBP,0.84720000
2024-07-01,EUR,JPY,172.95000000
2024-07-01,EUR,CHF,0.96940000
2024-07-01,EUR,CAD,1.46680000
2024-07-01,EUR,AUD,1.61020000
2024-07-01,EUR,MXN,19.46300000
2024-07-01,EUR,BRL,5.99800000
2024-07-01,EUR,CNY,7.79850000
2025-01-02,EUR,USD,1.04150000
2025-01-02,EUR,GBP,0.83050000
2025-01-02,EUR,JPY,163.41000000
2025-01-02,EUR,CHF,0.94120000
2025-01-02,EUR,CAD,1.49470000
2025-01-02,EUR,AUD,1.67240000
2025-01-02,EUR,MXN,21.51200000
2025-01-02,EUR,BRL,6.42100000
2025-01-02,EUR,CNY,7.60630000
2025-07-01,EUR,USD,1.17390000
2025-07-01,EUR,GBP,0.85670000
2025-07-01,EUR,JPY,168.95000000
2025-07-01,EUR,CHF,0.93250000
2025-07-01,EUR,CAD,1.59710000
2025-07-01,EUR,AUD,1.78630000
2025-07-01,EUR,MXN,21.82400000
2025-07-01,EUR,BRL,6.49870000
2025-07-01,EUR,CNY,8.39400000
2026-01-02,EUR,USD,1.15870000
2026-01-02,EUR,GBP,0.84920000
2026-01-02,EUR,JPY,174.62000000
2026-01-02,EUR,CHF,0.93010000
2026-01-02,EUR,CAD,1.62110000
2026-01-02,EUR,AUD,1.77840000
2026-01-02,EUR,MXN,21.95300000
2026-01-02,EUR,BRL,6.39500000
2026-01-02,EUR,CNY,8.30200000
2026-04-01,EUR,USD,1.14080000
2026-04-01,EUR,GBP,0.84150000
2026-04-01,EUR,JPY,171.85000000
2026-04-01,EUR,CHF,0.92340000
2026-04-01,EUR,CAD,1.60450000
2026-04-01,EUR,AUD,1.77930000
2026-04-01,EUR,MXN,21.51000000
2026-04-01,EUR,BRL,6.40200000
2026-04-01,EUR,CNY,8.19400000
